time(s),flow(L/m)
0,0
0.002,0.186305
0.004,0.37261
0.006,0.558915
0.008,0.74522
0.01,0.931525
0.012,1.11783
0.014,1.30413
0.016,1.49044
0.018,1.67674
0.02,1.86305
0.022,2.04935
0.024,2.23566
0.026,2.42196
0.028,2.60827
0.03,2.79457
0.032,2.98088
0.034,3.16718
0.036,3.35349
0.038,3.53979
0.04,3.7261
0.042,3.9124
0.044,4.09871
0.046,4.28501
0.048,4.47132
0.05,4.65762
0.052,4.84393
0.054,5.03023
0.056,5.21654
0.058,5.40284
0.06,5.58915
0.062,5.77545
0.064,5.96176
0.066,6.14806
0.068,6.33437
0.07,6.52067
0.072,6.70698
0.074,6.89328
0.076,7.07959
0.078,7.26589
0.08,7.4522
0.082,7.6385
0.084,7.82481
0.086,8.01111
0.088,8.19742
0.09,8.38372
0.092,8.57003
0.094,8.75633
0.096,8.94264
0.098,9.12894
0.1,9.31525
0.102,9.50155
0.104,9.68786
0.106,9.87416
0.108,10.0605
0.11,10.2468
0.112,10.4331
0.114,10.6194
0.116,10.8057
0.118,10.992
0.12,11.1783
0.122,11.3646
0.124,11.5509
0.126,11.7372
0.128,11.9235
0.13,12.1098
0.132,12.2961
0.134,12.4824
0.136,12.6687
0.138,12.855
0.14,13.0413
0.142,13.2277
0.144,13.414
0.146,13.6003
0.148,13.7866
0.15,13.9729
0.152,14.1592
0.154,14.3455
0.156,14.5318
0.158,14.7181
0.16,14.9044
0.162,15.0907
0.164,15.277
0.166,15.4633
0.168,15.6496
0.17,15.8359
0.172,16.0222
0.174,16.2085
0.176,16.3948
0.178,16.5811
0.18,16.7674
0.182,16.9537
0.184,17.1401
0.186,17.3264
0.188,17.5127
0.19,17.699
0.192,17.8853
0.194,18.0716
0.196,18.2579
0.198,18.4442
0.2,18.6305
0.202,18.7116
0.204,18.7927
0.206,18.8739
0.208,18.955
0.21,19.0361
0.212,19.1172
0.214,19.1983
0.216,19.2795
0.218,19.3606
0.22,19.4417
0.222,19.5228
0.224,19.604
0.226,19.6851
0.228,19.7662
0.23,19.8473
0.232,19.9284
0.234,20.0096
0.236,20.0907
0.238,20.1718
0.24,20.2529
0.242,20.334
0.244,20.4152
0.246,20.4963
0.248,20.5774
0.25,20.6585
0.252,20.7397
0.254,20.8208
0.256,20.9019
0.258,20.983
0.26,21.0641
0.262,21.1453
0.264,21.2264
0.266,21.3075
0.268,21.3886
0.27,21.4698
0.272,21.5509
