time(s),flow(L/m)
0.716,38.9746
0.718,38.9917
0.72,39.0088
0.722,39.0259
0.724,39.043
0.726,39.0601
0.728,39.0772
0.73,39.0943
0.732,39.1115
0.734,39.1286
0.736,39.1457
0.738,39.1628
0.74,39.1799
0.742,39.197
0.744,39.2141
0.746,39.2312
0.748,39.2484
0.75,39.2655
0.752,39.2826
0.754,39.2997
0.756,39.3168
0.758,39.3339
0.76,39.351
0.762,39.3681
0.764,39.3853
0.766,39.4024
0.768,39.4195
0.77,39.4366
0.772,39.4537
0.774,39.4708
0.776,39.4879
0.778,39.505
0.78,39.5222
0.782,39.5393
0.784,39.5564
0.786,39.5735
0.788,39.5906
0.79,39.6077
0.792,39.6248
0.794,39.6419
0.796,39.6591
0.798,39.6762
0.8,39.6933
0.802,39.6963
0.804,39.6994
0.806,39.7025
0.808,39.7056
0.81,39.7086
0.812,39.7117
0.814,39.7148
0.816,39.7178
0.818,39.7209
0.82,39.724
0.822,39.727
0.824,39.7301
0.826,39.7332
0.828,39.7362
0.83,39.7393
0.832,39.7424
0.834,39.7454
0.836,39.7485
0.838,39.7516
0.84,39.7546
0.842,39.7577
0.844,39.7608
0.846,39.7638
0.848,39.7669
0.85,39.77
0.852,39.773
0.854,39.7761
0.856,39.7792
0.858,39.7822
0.86,39.7853
0.862,39.7884
0.864,39.7914
0.866,39.7945
0.868,39.7976
0.87,39.8006
0.872,39.8037
0.874,39.8068
0.876,39.8098
0.878,39.8129
0.88,39.816
0.882,39.819
0.884,39.8221
0.886,39.8252
0.888,39.8282
0.89,39.8313
0.892,39.8344
0.894,39.8374
0.896,39.8405
0.898,39.8436
0.9,39.8466
0.902,39.8497
0.904,39.8528
0.906,39.8558
0.908,39.8589
0.91,39.862
0.912,39.865
0.914,39.8681
0.916,39.8712
0.918,39.8742
0.92,39.8773
0.922,39.8804
0.924,39.8834
0.926,39.8865
0.928,39.8896
0.93,39.8926
0.932,39.8957
0.934,39.8988
0.936,39.9019
0.938,39.9049
0.94,39.908
0.942,39.9111
0.944,39.9141
0.946,39.9172
0.948,39.9203
0.95,39.9233
0.952,39.9264
0.954,39.9295
0.956,39.9325
0.958,39.9356
0.96,39.9387
0.962,39.9417
0.964,39.9448
0.966,39.9479
0.968,39.9509
0.97,39.954
0.972,39.9571
0.974,39.9601
0.976,39.9632
0.978,39.9663
0.98,39.9693
0.982,39.9724
0.984,39.9755
0.986,39.9785
0.988,39.9816
0.99,39.9847
0.992,39.9877
0.994,39.9908
0.996,39.9939
0.998,39.9969
1,40
1.002,39.9929
1.004,39.9858
1.006,39.9788
1.008,39.9717
1.01,39.9646
1.012,39.9575
1.014,39.9504
1.016,39.9433
1.018,39.9363
1.02,39.9292
1.022,39.9221
1.024,39.915
1.026,39.9079
1.028,39.9008
1.03,39.8938
1.032,39.8867
1.034,39.8796
1.036,39.8725
1.038,39.8654
1.04,39.8583
1.042,39.8513
1.044,39.8442
1.046,39.8371
1.048,39.83
1.05,39.8229
1.052,39.8158
1.054,39.8088
1.056,39.8017
1.058,39.7946
1.06,39.7875
1.062,39.7804
1.064,39.7734
1.066,39.7663
1.068,39.7592
1.07,39.7521
1.072,39.745
1.074,39.7379
1.076,39.7309
1.078,39.7238
1.08,39.7167
1.082,39.7096
1.084,39.7025
1.086,39.6954
1.088,39.6884
1.09,39.6813
1.092,39.6742
1.094,39.6671
1.096,39.66
1.098,39.6529
1.1,39.6459
1.102,39.6388
1.104,39.6317
1.106,39.6246
1.108,39.6175
1.11,39.6104
1.112,39.6034
1.114,39.5963
1.116,39.5892
1.118,39.5821
1.12,39.575
1.122,39.568
1.124,39.5609
1.126,39.5538
1.128,39.5467
1.13,39.5396
1.132,39.5325
1.134,39.5255
1.136,39.5184
1.138,39.5113
1.14,39.5042
1.142,39.4971
1.144,39.49
1.146,39.483
1.148,39.4759
1.15,39.4688
1.152,39.4617
1.154,39.4546
1.156,39.4475
1.158,39.4405
1.16,39.4334
1.162,39.4263
1.164,39.4192
1.166,39.4121
1.168,39.405
1.17,39.398
1.172,39.3909
1.174,39.3838
1.176,39.3767
1.178,39.3696
1.18,39.3625
1.182,39.3555
1.184,39.3484
1.186,39.3413
1.188,39.3342
1.19,39.3271
1.192,39.3201
1.194,39.313
1.196,39.3059
1.198,39.2988
1.2,39.2917
1.202,39.2766
1.204,39.2615
1.206,39.2464
1.208,39.2313
1.21,39.2162
1.212,39.201
1.214,39.1859
1.216,39.1708
1.218,39.1557
1.22,39.1406
1.222,39.1255
1.224,39.1104
1.226,39.0953
1.228,39.0801
1.23,39.065
1.232,39.0499
1.234,39.0348
1.236,39.0197
1.238,39.0046
1.24,38.9895
1.242,38.9744
1.244,38.9593
1.246,38.9441
1.248,38.929
1.25,38.9139
1.252,38.8988
1.254,38.8837
1.256,38.8686
1.258,38.8535
1.26,38.8384
1.262,38.8232
1.264,38.8081
1.266,38.793
1.268,38.7779
1.27,38.7628
1.272,38.7477
1.274,38.7326
1.276,38.7175
1.278,38.7023
1.28,38.6872
1.282,38.6721
1.284,38.657
1.286,38.6419
1.288,38.6268
1.29,38.6117
1.292,38.5966
1.294,38.5814
1.296,38.5663
1.298,38.5512
1.3,38.5361
1.302,38.521
1.304,38.5059
1.306,38.4908
1.308,38.4757
1.31,38.4605
1.312,38.4454
1.314,38.4303
1.316,38.4152
1.318,38.4001
1.32,38.385
1.322,38.3699
1.324,38.3548
1.326,38.3396
1.328,38.3245
1.33,38.3094
1.332,38.2943
1.334,38.2792
1.336,38.2641
1.338,38.249
1.34,38.2339
1.342,38.2187
1.344,38.2036
1.346,38.1885
1.348,38.1734
1.35,38.1583
1.352,38.1432
1.354,38.1281
1.356,38.113
1.358,38.0978
1.36,38.0827
1.362,38.0676
1.364,38.0525
1.366,38.0374
1.368,38.0223
1.37,38.0072
1.372,37.9921
1.374,37.977
1.376,37.9618
1.378,37.9467
1.38,37.9316
1.382,37.9165
1.384,37.9014
1.386,37.8863
1.388,37.8712
1.39,37.8561
1.392,37.8409
1.394,37.8258
1.396,37.8107
1.398,37.7956
1.4,37.7805
1.402,37.7586
1.404,37.7368
1.406,37.7149
1.408,37.6931
1.41,37.6712
1.412,37.6493
1.414,37.6275
1.416,37.6056
1.418,37.5838
1.42,37.5619
1.422,37.5401
1.424,37.5182
1.426,37.4963
1.428,37.4745
1.43,37.4526
1.432,37.4308
1.434,37.4089
1.436,37.3871
1.438,37.3652
1.44,37.3433
1.442,37.3215
1.444,37.2996
1.446,37.2778
1.448,37.2559
1.45,37.2341
1.452,37.2122
1.454,37.1903
1.456,37.1685
1.458,37.1466
1.46,37.1248
1.462,37.1029
1.464,37.081
1.466,37.0592
1.468,37.0373
1.47,37.0155
1.472,36.9936
1.474,36.9718
1.476,36.9499
1.478,36.928
1.48,36.9062
1.482,36.8843
1.484,36.8625
1.486,36.8406
1.488,36.8188
1.49,36.7969
1.492,36.775
1.494,36.7532
1.496,36.7313
1.498,36.7095
1.5,36.6876
1.502,36.6658
1.504,36.6439
1.506,36.622
1.508,36.6002
1.51,36.5783
1.512,36.5565
1.514,36.5346
1.516,36.5128
1.518,36.4909
1.52,36.469
1.522,36.4472
1.524,36.4253
1.526,36.4035
1.528,36.3816
1.53,36.3598
1.532,36.3379
1.534,36.316
1.536,36.2942
1.538,36.2723
1.54,36.2505
1.542,36.2286
1.544,36.2067
1.546,36.1849
1.548,36.163
1.55,36.1412
1.552,36.1193
1.554,36.0975
1.556,36.0756
1.558,36.0537
1.56,36.0319
1.562,36.01
1.564,35.9882
1.566,35.9663
1.568,35.9445
1.57,35.9226
1.572,35.9007
1.574,35.8789
1.576,35.857
1.578,35.8352
1.58,35.8133
1.582,35.7915
1.584,35.7696
1.586,35.7477
1.588,35.7259
1.59,35.704
1.592,35.6822
1.594,35.6603
1.596,35.6385
1.598,35.6166
1.6,35.5947
1.602,35.567
1.604,35.5393
1.606,35.5116
1.608,35.4839
1.61,35.4562
1.612,35.4285
1.614,35.4007
1.616,35.373
1.618,35.3453
1.62,35.3176
1.622,35.2899
1.624,35.2622
1.626,35.2345
1.628,35.2068
1.63,35.179
1.632,35.1513
1.634,35.1236
1.636,35.0959
1.638,35.0682
1.64,35.0405
1.642,35.0128
1.644,34.985
1.646,34.9573
1.648,34.9296
1.65,34.9019
1.652,34.8742
1.654,34.8465
1.656,34.8188
1.658,34.7911
1.66,34.7633
1.662,34.7356
1.664,34.7079
1.666,34.6802
1.668,34.6525
1.67,34.6248
1.672,34.5971
1.674,34.5693
1.676,34.5416
1.678,34.5139
1.68,34.4862
1.682,34.4585
1.684,34.4308
1.686,34.4031
1.688,34.3754
1.69,34.3476
1.692,34.3199
1.694,34.2922
1.696,34.2645
1.698,34.2368
1.7,34.2091
1.702,34.1814
1.704,34.1537
1.706,34.1259
1.708,34.0982
1.71,34.0705
1.712,34.0428
1.714,34.0151
1.716,33.9874
1.718,33.9597
1.72,33.9319
1.722,33.9042
1.724,33.8765
1.726,33.8488
1.728,33.8211
1.73,33.7934
1.732,33.7657
1.734,33.738
1.736,33.7102
1.738,33.6825
1.74,33.6548
1.742,33.6271
1.744,33.5994
1.746,33.5717
1.748,33.544
1.75,33.5162
1.752,33.4885
1.754,33.4608
1.756,33.4331
1.758,33.4054
1.76,33.3777
1.762,33.35
1.764,33.3223
1.766,33.2945
1.768,33.2668
1.77,33.2391
1.772,33.2114
1.774,33.1837
1.776,33.156
1.778,33.1283
1.78,33.1005
1.782,33.0728
1.784,33.0451
1.786,33.0174
1.788,32.9897
1.79,32.962
1.792,32.9343
1.794,32.9066
1.796,32.8788
1.798,32.8511
1.8,32.8234
1.802,32.7906
1.804,32.7578
1.806,32.725
1.808,32.6922
1.81,32.6593
1.812,32.6265
1.814,32.5937
1.816,32.5609
1.818,32.5281
1.82,32.4953
1.822,32.4624
1.824,32.4296
1.826,32.3968
1.828,32.364
1.83,32.3312
1.832,32.2984
1.834,32.2655
1.836,32.2327
1.838,32.1999
1.84,32.1671
1.842,32.1343
1.844,32.1015
1.846,32.0686
1.848,32.0358
1.85,32.003
1.852,31.9702
1.854,31.9374
1.856,31.9046
1.858,31.8717
1.86,31.8389
1.862,31.8061
1.864,31.7733
1.866,31.7405
1.868,31.7077
1.87,31.6748
1.872,31.642
1.874,31.6092
1.876,31.5764
1.878,31.5436
1.88,31.5108
1.882,31.4779
1.884,31.4451
1.886,31.4123
1.888,31.3795
1.89,31.3467
1.892,31.3139
1.894,31.2811
1.896,31.2482
1.898,31.2154
1.9,31.1826
1.902,31.1498
1.904,31.117
1.906,31.0842
1.908,31.0513
1.91,31.0185
1.912,30.9857
1.914,30.9529
1.916,30.9201
1.918,30.8873
1.92,30.8544
1.922,30.8216
1.924,30.7888
1.926,30.756
1.928,30.7232
1.93,30.6904
1.932,30.6575
1.934,30.6247
1.936,30.5919
1.938,30.5591
1.94,30.5263
1.942,30.4935
1.944,30.4606
1.946,30.4278
1.948,30.395
1.95,30.3622
1.952,30.3294
1.954,30.2966
1.956,30.2637
1.958,30.2309
1.96,30.1981
1.962,30.1653
1.964,30.1325
1.966,30.0997
1.968,30.0669
1.97,30.034
1.972,30.0012
1.974,29.9684
1.976,29.9356
1.978,29.9028
1.98,29.87
1.982,29.8371
1.984,29.8043
1.986,29.7715
1.988,29.7387
1.99,29.7059
1.992,29.6731
1.994,29.6402
1.996,29.6074
1.998,29.5746
2,29.5418
2.002,29.5047
2.004,29.4676
2.006,29.4304
2.008,29.3933
2.01,29.3562
2.012,29.3191
2.014,29.282
2.016,29.2449
2.018,29.2078
2.02,29.1706
2.022,29.1335
2.024,29.0964
2.026,29.0593
2.028,29.0222
2.03,28.9851
2.032,28.948
2.034,28.9108
2.036,28.8737
2.038,28.8366
2.04,28.7995
2.042,28.7624
2.044,28.7253
2.046,28.6882
2.048,28.651
2.05,28.6139
2.052,28.5768
2.054,28.5397
2.056,28.5026
2.058,28.4655
2.06,28.4284
2.062,28.3912
2.064,28.3541
2.066,28.317
2.068,28.2799
2.07,28.2428
2.072,28.2057
2.074,28.1686
2.076,28.1314
2.078,28.0943
2.08,28.0572
2.082,28.0201
2.084,27.983
2.086,27.9459
2.088,27.9088
2.09,27.8716
2.092,27.8345
2.094,27.7974
2.096,27.7603
2.098,27.7232
2.1,27.6861
2.102,27.649
2.104,27.6118
2.106,27.5747
2.108,27.5376
2.11,27.5005
2.112,27.4634
2.114,27.4263
2.116,27.3892
2.118,27.352
2.12,27.3149
2.122,27.2778
2.124,27.2407
2.126,27.2036
2.128,27.1665
2.13,27.1294
2.132,27.0922
2.134,27.0551
2.136,27.018
2.138,26.9809
2.14,26.9438
2.142,26.9067
2.144,26.8696
2.146,26.8324
2.148,26.7953
