time(s),flow(L/m)
0,0
0.002,0.216404
0.004,0.432808
0.006,0.649211
0.008,0.865615
0.01,1.08202
0.012,1.29842
0.014,1.51483
0.016,1.73123
0.018,1.94763
0.02,2.16404
0.022,2.38044
0.024,2.59685
0.026,2.81325
0.028,3.02965
0.03,3.24606
0.032,3.46246
0.034,3.67886
0.036,3.89527
0.038,4.11167
0.04,4.32808
0.042,4.54448
0.044,4.76088
0.046,4.97729
0.048,5.19369
0.05,5.41009
0.052,5.6265
0.054,5.8429
0.056,6.05931
0.058,6.27571
0.06,6.49211
0.062,6.70852
0.064,6.92492
0.066,7.14132
0.068,7.35773
0.07,7.57413
0.072,7.79054
0.074,8.00694
0.076,8.22334
0.078,8.43975
0.08,8.65615
0.082,8.87255
0.084,9.08896
0.086,9.30536
0.088,9.52177
0.09,9.73817
0.092,9.95457
0.094,10.171
0.096,10.3874
0.098,10.6038
0.1,10.8202
0.102,11.0366
0.104,11.253
0.106,11.4694
0.108,11.6858
0.11,11.9022
0.112,12.1186
0.114,12.335
0.116,12.5514
0.118,12.7678
0.12,12.9842
0.122,13.2006
0.124,13.417
0.126,13.6334
0.128,13.8498
0.13,14.0662
0.132,14.2826
0.134,14.4991
0.136,14.7155
0.138,14.9319
0.14,15.1483
0.142,15.3647
0.144,15.5811
0.146,15.7975
0.148,16.0139
0.15,16.2303
0.152,16.4467
0.154,16.6631
0.156,16.8795
0.158,17.0959
0.16,17.3123
0.162,17.5287
0.164,17.7451
0.166,17.9615
0.168,18.1779
0.17,18.3943
0.172,18.6107
0.174,18.8271
0.176,19.0435
0.178,19.2599
0.18,19.4763
0.182,19.6927
0.184,19.9091
0.186,20.1256
0.188,20.342
0.19,20.5584
0.192,20.7748
0.194,20.9912
0.196,21.2076
0.198,21.424
0.2,21.6404
0.202,21.7245
0.204,21.8086
0.206,21.8927
0.208,21.9768
0.21,22.0609
0.212,22.1451
0.214,22.2292
0.216,22.3133
0.218,22.3974
0.22,22.4815
0.222,22.5656
0.224,22.6497
0.226,22.7338
0.228,22.818
0.23,22.9021
0.232,22.9862
0.234,23.0703
0.236,23.1544
0.238,23.2385
0.24,23.3226
0.242,23.4068
0.244,23.4909
0.246,23.575
0.248,23.6591
0.25,23.7432
0.252,23.8273
0.254,23.9114
0.256,23.9955
0.258,24.0797
0.26,24.1638
0.262,24.2479
0.264,24.332
0.266,24.4161
0.268,24.5002
0.27,24.5843
0.272,24.6685
0.274,24.7526
0.276,24.8367
0.278,24.9208
0.28,25.0049
0.282,25.089
0.284,25.1731
0.286,25.2572
0.288,25.3414
0.29,25.4255
0.292,25.5096
0.294,25.5937
0.296,25.6778
0.298,25.7619
0.3,25.846
0.302,25.9301
0.304,26.0143
0.306,26.0984
0.308,26.1825
0.31,26.2666
0.312,26.3507
0.314,26.4348
0.316,26.5189
0.318,26.6031
0.32,26.6872
0.322,26.7713
0.324,26.8554
0.326,26.9395
0.328,27.0236
0.33,27.1077
0.332,27.1918
0.334,27.276
0.336,27.3601
0.338,27.4442
0.34,27.5283
0.342,27.6124
0.344,27.6965
0.346,27.7806
0.348,27.8648
0.35,27.9489
0.352,28.033
0.354,28.1171
0.356,28.2012
0.358,28.2853
0.36,28.3694
0.362,28.4535
0.364,28.5377
0.366,28.6218
0.368,28.7059
0.37,28.79
0.372,28.8741
0.374,28.9582
0.376,29.0423
0.378,29.1264
0.38,29.2106
0.382,29.2947
0.384,29.3788
0.386,29.4629
0.388,29.547
0.39,29.6311
0.392,29.7152
0.394,29.7994
0.396,29.8835
0.398,29.9676
0.4,30.0517
0.402,30.099
0.404,30.1463
0.406,30.1936
0.408,30.241
0.41,30.2883
0.412,30.3356
0.414,30.3829
0.416,30.4302
0.418,30.4775
0.42,30.5249
0.422,30.5722
0.424,30.6195
0.426,30.6668
0.428,30.7141
0.43,30.7615
0.432,30.8088
0.434,30.8561
0.436,30.9034
0.438,30.9507
0.44,30.998
0.442,31.0454
0.444,31.0927
0.446,31.14
0.448,31.1873
0.45,31.2346
0.452,31.2819
