time(s),flow(L/m)
1.228,40.7128
1.23,40.5593
1.232,40.4058
1.234,40.2523
1.236,40.0988
1.238,39.9453
1.24,39.7917
1.242,39.6382
1.244,39.4847
1.246,39.3312
1.248,39.1777
1.25,39.0242
1.252,38.8707
1.254,38.7172
1.256,38.5637
1.258,38.4102
1.26,38.2567
1.262,38.1032
1.264,37.9497
1.266,37.7962
1.268,37.6427
1.27,37.4892
1.272,37.3357
1.274,37.1822
1.276,37.0287
1.278,36.8751
1.28,36.7216
1.282,36.5712
1.284,36.4207
1.286,36.2702
1.288,36.1197
1.29,35.9692
1.292,35.8187
1.294,35.6683
1.296,35.5178
1.298,35.3673
1.3,35.2168
1.302,35.0663
1.304,34.9158
1.306,34.7654
1.308,34.6149
1.31,34.4644
1.312,34.3139
1.314,34.1634
1.316,34.0129
1.318,33.8625
1.32,33.712
1.322,33.5615
1.324,33.411
1.326,33.2605
1.328,33.11
1.33,32.9596
1.332,32.8091
1.334,32.6586
1.336,32.5081
1.338,32.3576
1.34,32.2071
1.342,32.0566
1.344,31.9062
1.346,31.7557
1.348,31.6052
1.35,31.4547
1.352,31.3042
1.354,31.1537
1.356,31.0033
1.358,30.8528
1.36,30.7023
1.362,30.5518
1.364,30.4013
1.366,30.2508
1.368,30.1004
1.37,29.9499
1.372,29.7994
1.374,29.6489
1.376,29.4984
1.378,29.3479
1.38,29.1975
1.382,29.047
1.384,28.8965
1.386,28.746
1.388,28.5955
1.39,28.445
1.392,28.2946
1.394,28.1441
1.396,27.9936
1.398,27.8431
1.4,27.6926
1.402,27.5421
1.404,27.3917
1.406,27.2412
1.408,27.0907
1.41,26.9402
1.412,26.7897
1.414,26.6392
1.416,26.4888
1.418,26.3383
1.42,26.1878
1.422,26.0373
1.424,25.8868
1.426,25.7363
1.428,25.5859
1.43,25.4354
1.432,25.2849
1.434,25.1344
1.436,24.9839
1.438,24.8334
1.44,24.6829
1.442,24.5522
1.444,24.4215
1.446,24.2907
1.448,24.16
1.45,24.0292
1.452,23.8985
1.454,23.7678
1.456,23.637
1.458,23.5063
1.46,23.3755
1.462,23.2448
1.464,23.1141
1.466,22.9833
1.468,22.8526
1.47,22.7218
1.472,22.5911
1.474,22.4604
1.476,22.3296
1.478,22.1989
1.48,22.0681
1.482,21.9374
1.484,21.8067
1.486,21.6759
1.488,21.5452
1.49,21.4144
1.492,21.2837
1.494,21.153
1.496,21.0222
1.498,20.8915
1.5,20.7608
1.502,20.63
1.504,20.4993
1.506,20.3685
1.508,20.2378
1.51,20.1071
1.512,19.9763
1.514,19.8456
1.516,19.7148
1.518,19.5841
1.52,19.4534
1.522,19.3226
1.524,19.1919
1.526,19.0611
1.528,18.9304
1.53,18.7997
1.532,18.6689
1.534,18.5382
1.536,18.4074
1.538,18.2767
1.54,18.146
1.542,18.0152
1.544,17.8845
1.546,17.7537
1.548,17.623
1.55,17.4923
1.552,17.3615
1.554,17.2308
1.556,17.1
1.558,16.9693
1.56,16.8386
1.562,16.7078
1.564,16.5771
1.566,16.4463
1.568,16.3156
1.57,16.1849
1.572,16.0541
1.574,15.9234
1.576,15.7926
1.578,15.6619
1.58,15.5312
1.582,15.4004
1.584,15.2697
1.586,15.1389
1.588,15.0082
1.59,14.8775
1.592,14.7467
1.594,14.616
1.596,14.4852
1.598,14.3545
1.6,14.2238
1.602,14.1272
1.604,14.0306
1.606,13.934
1.608,13.8374
1.61,13.7408
1.612,13.6443
1.614,13.5477
1.616,13.4511
1.618,13.3545
1.62,13.2579
1.622,13.1614
1.624,13.0648
1.626,12.9682
1.628,12.8716
1.63,12.775
1.632,12.6785
1.634,12.5819
1.636,12.4853
1.638,12.3887
1.64,12.2921
1.642,12.1956
1.644,12.099
1.646,12.0024
1.648,11.9058
1.65,11.8092
1.652,11.7126
1.654,11.6161
1.656,11.5195
1.658,11.4229
1.66,11.3263
1.662,11.2297
1.664,11.1332
1.666,11.0366
1.668,10.94
1.67,10.8434
1.672,10.7468
1.674,10.6503
1.676,10.5537
1.678,10.4571
1.68,10.3605
1.682,10.2639
1.684,10.1674
1.686,10.0708
1.688,9.97419
1.69,9.87761
1.692,9.78103
1.694,9.68445
1.696,9.58787
1.698,9.49129
1.7,9.3947
1.702,9.29812
1.704,9.20154
1.706,9.10496
1.708,9.00838
1.71,8.9118
1.712,8.81522
1.714,8.71864
1.716,8.62206
1.718,8.52548
1.72,8.42889
1.722,8.33231
1.724,8.23573
1.726,8.13915
1.728,8.04257
1.73,7.94599
1.732,7.84941
1.734,7.75283
1.736,7.65625
1.738,7.55967
1.74,7.46308
1.742,7.3665
1.744,7.26992
1.746,7.17334
1.748,7.07676
1.75,6.98018
1.752,6.8836
1.754,6.78702
1.756,6.69044
1.758,6.59386
1.76,6.49727
1.762,6.44092
1.764,6.38457
1.766,6.32822
1.768,6.27187
1.77,6.21551
1.772,6.15916
1.774,6.10281
1.776,6.04646
1.778,5.99011
1.78,5.93375
1.782,5.8774
1.784,5.82105
1.786,5.7647
1.788,5.70835
1.79,5.65199
1.792,5.59564
1.794,5.53929
1.796,5.48294
1.798,5.42659
1.8,5.37023
1.802,5.31388
1.804,5.25753
1.806,5.20118
1.808,5.14483
1.81,5.08847
1.812,5.03212
1.814,4.97577
1.816,4.91942
1.818,4.86307
1.82,4.80671
1.822,4.75036
1.824,4.69401
1.826,4.63766
1.828,4.58131
1.83,4.52495
1.832,4.4686
1.834,4.41225
1.836,4.3559
1.838,4.29954
1.84,4.24319
1.842,4.18684
1.844,4.13049
1.846,4.07414
1.848,4.01778
1.85,3.96143
1.852,3.90508
1.854,3.84873
1.856,3.79238
1.858,3.73602
1.86,3.67967
1.862,3.62332
1.864,3.56697
1.866,3.51062
1.868,3.45426
1.87,3.39791
1.872,3.34156
1.874,3.28521
1.876,3.22886
1.878,3.1725
1.88,3.11615
1.882,3.0598
1.884,3.00345
1.886,2.9471
1.888,2.89074
1.89,2.83439
1.892,2.77804
1.894,2.72169
1.896,2.66534
1.898,2.60898
1.9,2.55263
1.902,2.49628
1.904,2.43993
1.906,2.38358
1.908,2.32722
1.91,2.27087
1.912,2.21452
1.914,2.15817
1.916,2.10182
1.918,2.04546
1.92,1.98911
1.922,1.96725
1.924,1.94538
1.926,1.92351
1.928,1.90165
1.93,1.87978
1.932,1.85791
1.934,1.83605
1.936,1.81418
1.938,1.79231
1.94,1.77045
1.942,1.74858
1.944,1.72672
1.946,1.70485
1.948,1.68298
1.95,1.66112
1.952,1.63925
1.954,1.61738
1.956,1.59552
1.958,1.57365
1.96,1.55179
1.962,1.52992
1.964,1.50805
1.966,1.48619
1.968,1.46432
1.97,1.44245
1.972,1.42059
1.974,1.39872
1.976,1.37685
1.978,1.35499
1.98,1.33312
1.982,1.31126
1.984,1.28939
1.986,1.26752
1.988,1.24566
1.99,1.22379
1.992,1.20192
1.994,1.18006
1.996,1.15819
1.998,1.13633
2,1.11446
2.002,1.09259
2.004,1.07073
2.006,1.04886
2.008,1.02699
2.01,1.00513
2.012,0.983261
2.014,0.961395
2.016,0.939528
2.018,0.917662
2.02,0.895796
2.022,0.873929
2.024,0.852063
2.026,0.830197
2.028,0.808331
2.03,0.786464
2.032,0.764598
2.034,0.742732
2.036,0.720865
2.038,0.698999
2.04,0.677133
2.042,0.655266
2.044,0.6334
2.046,0.611534
2.048,0.589667
2.05,0.567801
2.052,0.545935
2.054,0.524068
2.056,0.502202
2.058,0.480336
2.06,0.458469
2.062,0.436603
2.064,0.414737
2.066,0.392871
2.068,0.371004
2.07,0.349138
2.072,0.327272
2.074,0.305405
2.076,0.283539
2.078,0.261673
2.08,0.239806
2.082,0.239806
2.084,0.239806
2.086,0.239806
2.088,0.239806
2.09,0.239806
2.092,0.239806
2.094,0.239806
2.096,0.239806
2.098,0.239806
2.1,0.239806
2.102,0.239806
2.104,0.239806
2.106,0.239806
2.108,0.239806
2.11,0.239806
2.112,0.239806
2.114,0.239806
2.116,0.239806
2.118,0.239806
2.12,0.239806
2.122,0.239806
2.124,0.239806
2.126,0.239806
2.128,0.239806
2.13,0.239806
2.132,0.239806
2.134,0.239806
2.136,0.239806
2.138,0.239806
2.14,0.239806
2.142,0.239806
2.144,0.239806
2.146,0.239806
2.148,0.239806
2.15,0.239806
2.152,0.239806
2.154,0.239806
2.156,0.239806
2.158,0.239806
2.16,0.239806
2.162,0.239806
2.164,0.239806
2.166,0.239806
2.168,0.239806
2.17,0.239806
2.172,0.239806
2.174,0.239806
2.176,0.239806
2.178,0.239806
2.18,0.239806
2.182,0.239806
2.184,0.239806
2.186,0.239806
2.188,0.239806
2.19,0.239806
2.192,0.239806
2.194,0.239806
2.196,0.239806
2.198,0.239806
2.2,0.239806
2.202,0.239806
2.204,0.239806
2.206,0.239806
2.208,0.239806
2.21,0.239806
2.212,0.239806
2.214,0.239806
2.216,0.239806
2.218,0.239806
2.22,0.239806
2.222,0.239806
2.224,0.239806
2.226,0.239806
2.228,0.239806
2.23,0.239806
2.232,0.239806
2.234,0.239806
2.236,0.239806
2.238,0.239806
