time(s),flow(L/m)
0,0
0.002,0.806268
0.004,1.61254
0.006,2.4188
0.008,3.22507
0.01,4.03134
0.012,4.83761
0.014,5.64387
0.016,6.45014
0.018,7.25641
0.02,8.06268
0.022,8.86894
0.024,9.67521
0.026,10.4815
0.028,11.2877
0.03,12.094
0.032,12.9003
0.034,13.7065
0.036,14.5128
0.038,15.3191
0.04,16.1254
0.042,16.9316
0.044,17.7379
0.046,18.5442
0.048,19.3504
0.05,20.1567
0.052,20.963
0.054,21.7692
0.056,22.5755
0.058,23.3818
0.06,24.188
0.062,24.9943
0.064,25.8006
0.066,26.6068
0.068,27.4131
0.07,28.2194
0.072,29.0256
0.074,29.8319
0.076,30.6382
0.078,31.4444
0.08,32.2507
0.082,33.057
0.084,33.8632
0.086,34.6695
0.088,35.4758
0.09,36.282
0.092,37.0883
0.094,37.8946
0.096,38.7008
0.098,39.5071
0.1,40.3134
0.102,41.1196
0.104,41.9259
0.106,42.7322
0.108,43.5385
0.11,44.3447
0.112,45.151
0.114,45.9573
0.116,46.7635
0.118,47.5698
0.12,48.3761
0.122,49.1823
0.124,49.9886
0.126,50.7949
0.128,51.6011
0.13,52.4074
0.132,53.2137
0.134,54.0199
0.136,54.8262
0.138,55.6325
0.14,56.4387
0.142,57.245
0.144,58.0513
0.146,58.8575
0.148,59.6638
0.15,60.4701
0.152,61.2763
0.154,62.0826
0.156,62.8889
0.158,63.6951
0.16,64.5014
0.162,64.6668
0.164,64.8321
0.166,64.9975
0.168,65.1628
0.17,65.3282
0.172,65.4935
0.174,65.6589
0.176,65.8242
0.178,65.9896
0.18,66.1549
0.182,66.3203
0.184,66.4856
0.186,66.651
0.188,66.8163
0.19,66.9817
0.192,67.147
0.194,67.3124
0.196,67.4777
0.198,67.6431
0.2,67.8084
0.202,67.9738
0.204,68.1391
0.206,68.3045
0.208,68.4698
0.21,68.6352
0.212,68.8005
0.214,68.9659
0.216,69.1312
0.218,69.2966
0.22,69.4619
0.222,69.6273
0.224,69.7926
0.226,69.958
0.228,70.1233
0.23,70.2887
0.232,70.454
0.234,70.6194
0.236,70.7847
0.238,70.9501
0.24,71.1155
0.242,71.2808
0.244,71.4462
0.246,71.6115
0.248,71.7769
0.25,71.9422
0.252,72.1076
0.254,72.2729
0.256,72.4383
0.258,72.6036
0.26,72.769
0.262,72.9343
0.264,73.0997
0.266,73.265
0.268,73.4304
0.27,73.5957
0.272,73.7611
0.274,73.9264
0.276,74.0918
0.278,74.2571
0.28,74.4225
0.282,74.5878
0.284,74.7532
0.286,74.9185
0.288,75.0839
0.29,75.2492
0.292,75.4146
0.294,75.5799
0.296,75.7453
0.298,75.9106
0.3,76.076
0.302,76.2413
0.304,76.4067
0.306,76.572
0.308,76.7374
0.31,76.9027
0.312,77.0681
0.314,77.2334
0.316,77.3988
0.318,77.5641
0.32,77.7295
0.322,77.7579
0.324,77.7863
0.326,77.8146
0.328,77.843
0.33,77.8714
0.332,77.8998
0.334,77.9282
0.336,77.9565
0.338,77.9849
0.34,78.0133
0.342,78.0417
0.344,78.0701
0.346,78.0985
0.348,78.1268
0.35,78.1552
0.352,78.1836
0.354,78.212
0.356,78.2404
0.358,78.2687
0.36,78.2971
0.362,78.3255
0.364,78.3539
0.366,78.3823
0.368,78.4106
0.37,78.439
0.372,78.4674
0.374,78.4958
0.376,78.5242
0.378,78.5526
0.38,78.5809
0.382,78.6093
0.384,78.6377
0.386,78.6661
0.388,78.6945
0.39,78.7228
0.392,78.7512
0.394,78.7796
0.396,78.808
0.398,78.8364
0.4,78.8647
0.402,78.8931
0.404,78.9215
0.406,78.9499
0.408,78.9783
0.41,79.0067
0.412,79.035
0.414,79.0634
0.416,79.0918
0.418,79.1202
0.42,79.1486
0.422,79.1769
0.424,79.2053
0.426,79.2337
0.428,79.2621
0.43,79.2905
0.432,79.3188
0.434,79.3472
0.436,79.3756
0.438,79.404
0.44,79.4324
0.442,79.4608
0.444,79.4891
0.446,79.5175
0.448,79.5459
0.45,79.5743
0.452,79.6027
0.454,79.631
0.456,79.6594
0.458,79.6878
0.46,79.7162
0.462,79.7446
0.464,79.7729
0.466,79.8013
0.468,79.8297
0.47,79.8581
0.472,79.8865
0.474,79.9149
0.476,79.9432
0.478,79.9716
0.48,80
0.482,79.9593
0.484,79.9186
0.486,79.8779
0.488,79.8372
0.49,79.7965
0.492,79.7558
0.494,79.7151
0.496,79.6744
0.498,79.6338
0.5,79.5931
0.502,79.5524
0.504,79.5117
0.506,79.471
0.508,79.4303
0.51,79.3896
0.512,79.3489
0.514,79.3082
0.516,79.2675
0.518,79.2268
0.52,79.1861
0.522,79.1454
0.524,79.1047
0.526,79.064
0.528,79.0233
0.53,78.9826
0.532,78.9419
0.534,78.9013
0.536,78.8606
0.538,78.8199
0.54,78.7792
0.542,78.7385
0.544,78.6978
0.546,78.6571
0.548,78.6164
0.55,78.5757
0.552,78.535
0.554,78.4943
0.556,78.4536
0.558,78.4129
0.56,78.3722
0.562,78.3315
0.564,78.2908
0.566,78.2501
0.568,78.2094
0.57,78.1688
0.572,78.1281
0.574,78.0874
0.576,78.0467
0.578,78.006
0.58,77.9653
0.582,77.9246
0.584,77.8839
0.586,77.8432
0.588,77.8025
0.59,77.7618
0.592,77.7211
0.594,77.6804
0.596,77.6397
0.598,77.599
0.6,77.5583
0.602,77.5176
0.604,77.477
0.606,77.4363
0.608,77.3956
0.61,77.3549
0.612,77.3142
0.614,77.2735
0.616,77.2328
0.618,77.1921
0.62,77.1514
0.622,77.1107
0.624,77.07
0.626,77.0293
0.628,76.9886
0.63,76.9479
0.632,76.9072
0.634,76.8665
0.636,76.8258
0.638,76.7851
0.64,76.7445
0.642,76.6585
0.644,76.5725
0.646,76.4865
0.648,76.4006
0.65,76.3146
0.652,76.2286
0.654,76.1427
0.656,76.0567
0.658,75.9707
0.66,75.8847
0.662,75.7988
0.664,75.7128
0.666,75.6268
0.668,75.5409
0.67,75.4549
0.672,75.3689
0.674,75.283
0.676,75.197
0.678,75.111
0.68,75.025
0.682,74.9391
0.684,74.8531
0.686,74.7671
0.688,74.6812
0.69,74.5952
0.692,74.5092
0.694,74.4233
0.696,74.3373
0.698,74.2513
0.7,74.1653
0.702,74.0794
0.704,73.9934
0.706,73.9074
0.708,73.8215
0.71,73.7355
0.712,73.6495
0.714,73.5636
0.716,73.4776
0.718,73.3916
0.72,73.3056
0.722,73.2197
0.724,73.1337
0.726,73.0477
0.728,72.9618
0.73,72.8758
0.732,72.7898
0.734,72.7038
0.736,72.6179
0.738,72.5319
0.74,72.4459
0.742,72.36
0.744,72.274
0.746,72.188
0.748,72.1021
0.75,72.0161
0.752,71.9301
0.754,71.8441
0.756,71.7582
0.758,71.6722
0.76,71.5862
0.762,71.5003
0.764,71.4143
0.766,71.3283
0.768,71.2424
0.77,71.1564
0.772,71.0704
0.774,70.9844
0.776,70.8985
0.778,70.8125
0.78,70.7265
0.782,70.6406
0.784,70.5546
0.786,70.4686
0.788,70.3827
0.79,70.2967
0.792,70.2107
0.794,70.1247
0.796,70.0388
0.798,69.9528
0.8,69.8668
0.802,69.7479
0.804,69.629
0.806,69.5101
0.808,69.3912
0.81,69.2724
0.812,69.1535
0.814,69.0346
0.816,68.9157
0.818,68.7968
0.82,68.6779
0.822,68.559
0.824,68.4401
0.826,68.3212
0.828,68.2023
0.83,68.0834
0.832,67.9645
0.834,67.8456
0.836,67.7267
0.838,67.6078
0.84,67.4889
0.842,67.37
0.844,67.2511
0.846,67.1322
0.848,67.0133
0.85,66.8944
0.852,66.7755
0.854,66.6567
0.856,66.5378
0.858,66.4189
0.86,66.3
0.862,66.1811
0.864,66.0622
0.866,65.9433
0.868,65.8244
0.87,65.7055
0.872,65.5866
0.874,65.4677
0.876,65.3488
0.878,65.2299
0.88,65.111
0.882,64.9921
0.884,64.8732
0.886,64.7543
0.888,64.6354
0.89,64.5165
0.892,64.3976
0.894,64.2787
0.896,64.1598
0.898,64.0409
0.9,63.9221
0.902,63.8032
0.904,63.6843
0.906,63.5654
0.908,63.4465
0.91,63.3276
0.912,63.2087
0.914,63.0898
0.916,62.9709
0.918,62.852
0.92,62.7331
0.922,62.6142
0.924,62.4953
0.926,62.3764
0.928,62.2575
0.93,62.1386
0.932,62.0197
0.934,61.9008
0.936,61.7819
0.938,61.663
0.94,61.5441
0.942,61.4252
0.944,61.3064
0.946,61.1875
0.948,61.0686
0.95,60.9497
0.952,60.8308
0.954,60.7119
0.956,60.593
0.958,60.4741
0.96,60.3552
0.962,60.2133
0.964,60.0714
0.966,59.9294
0.968,59.7875
0.97,59.6456
0.972,59.5037
0.974,59.3618
0.976,59.2199
0.978,59.078
0.98,58.936
0.982,58.7941
0.984,58.6522
0.986,58.5103
0.988,58.3684
0.99,58.2265
0.992,58.0846
0.994,57.9427
0.996,57.8007
0.998,57.6588
1,57.5169
1.002,57.375
1.004,57.2331
1.006,57.0912
1.008,56.9493
1.01,56.8073
1.012,56.6654
1.014,56.5235
1.016,56.3816
1.018,56.2397
1.02,56.0978
1.022,55.9559
1.024,55.8139
1.026,55.672
1.028,55.5301
1.03,55.3882
1.032,55.2463
1.034,55.1044
1.036,54.9625
1.038,54.8205
1.04,54.6786
1.042,54.5367
1.044,54.3948
1.046,54.2529
1.048,54.111
1.05,53.9691
1.052,53.8271
1.054,53.6852
1.056,53.5433
1.058,53.4014
1.06,53.2595
1.062,53.1176
1.064,52.9757
1.066,52.8337
1.068,52.6918
1.07,52.5499
1.072,52.408
1.074,52.2661
1.076,52.1242
1.078,51.9823
1.08,51.8403
1.082,51.6984
1.084,51.5565
1.086,51.4146
1.088,51.2727
1.09,51.1308
1.092,50.9889
1.094,50.847
1.096,50.705
1.098,50.5631
1.1,50.4212
1.102,50.2793
1.104,50.1374
1.106,49.9955
1.108,49.8536
1.11,49.7116
1.112,49.5697
1.114,49.4278
1.116,49.2859
1.118,49.144
1.12,49.0021
1.122,48.8486
1.124,48.6951
1.126,48.5416
1.128,48.388
1.13,48.2345
1.132,48.081
1.134,47.9275
1.136,47.774
1.138,47.6205
1.14,47.467
1.142,47.3135
1.144,47.16
1.146,47.0065
1.148,46.853
1.15,46.6995
1.152,46.546
1.154,46.3925
1.156,46.239
1.158,46.0855
1.16,45.932
1.162,45.7785
1.164,45.625
1.166,45.4714
1.168,45.3179
1.17,45.1644
1.172,45.0109
1.174,44.8574
1.176,44.7039
1.178,44.5504
1.18,44.3969
1.182,44.2434
1.184,44.0899
1.186,43.9364
1.188,43.7829
1.19,43.6294
1.192,43.4759
1.194,43.3224
1.196,43.1689
1.198,43.0154
1.2,42.8619
1.202,42.7084
1.204,42.5548
1.206,42.4013
1.208,42.2478
1.21,42.0943
1.212,41.9408
1.214,41.7873
1.216,41.6338
1.218,41.4803
1.22,41.3268
1.222,41.1733
1.224,41.0198
1.226,40.8663
