time(s),flow(L/m)
0	0
0.002	0.472001
0.004	0.944003
0.006	1.416
0.008	1.88801
0.01	2.36001
0.012	2.83201
0.014	3.30401
0.016	3.77601
0.018	4.24801
0.02	4.72001
0.022	5.19201
0.024	5.66402
0.026	6.13602
0.028	6.60802
0.03	7.08002
0.032	7.55202
0.034	8.02402
0.036	8.49602
0.038	8.96803
0.04	9.44003
0.042	9.91203
0.044	10.384
0.046	10.856
0.048	11.328
0.05	11.8
0.052	12.272
0.054	12.744
0.056	13.216
0.058	13.688
0.06	14.16
0.062	14.632
0.064	15.104
0.066	15.576
0.068	16.048
0.07	16.52
0.072	16.992
0.074	17.464
0.076	17.9361
0.078	18.4081
0.08	18.8801
0.082	19.3521
0.084	19.8241
0.086	20.2961
0.088	20.7681
0.09	21.2401
0.092	21.7121
0.094	22.1841
0.096	22.6561
0.098	23.1281
0.1	23.6001
0.102	24.0721
0.104	24.5441
0.106	25.0161
0.108	25.4881
0.11	25.9601
0.112	26.4321
0.114	26.9041
0.116	27.3761
0.118	27.8481
0.12	28.3201
0.122	28.7921
0.124	29.2641
0.126	29.7361
0.128	30.2081
0.13	30.6801
0.132	31.1521
0.134	31.6241
0.136	32.0961
0.138	32.5681
0.14	33.0401
0.142	33.5121
0.144	33.9841
0.146	34.4561
0.148	34.9281
0.15	35.4001
0.152	35.8721
0.154	36.3441
0.156	36.8161
0.158	37.2881
0.16	37.7601
0.162	38.2321
0.164	38.7041
0.166	39.1761
0.168	39.6481
0.17	40.1201
0.172	40.5921
0.174	41.0641
0.176	41.5361
0.178	42.0081
0.18	42.4801
0.182	42.9521
0.184	43.4241
0.186	43.8961
0.188	44.3681
0.19	44.8401
0.192	45.3121
0.194	45.7841
0.196	46.2561
0.198	46.7281
0.2	47.2001
0.202	47.3041
0.204	47.4081
0.206	47.5121
0.208	47.6161
0.21	47.7201
0.212	47.8241
0.214	47.9281
0.216	48.0321
0.218	48.136
0.22	48.24
0.222	48.344
0.224	48.448
0.226	48.552
0.228	48.656
0.23	48.76
0.232	48.864
0.234	48.968
0.236	49.072
0.238	49.176
0.24	49.2799
0.242	49.3839
0.244	49.4879
0.246	49.5919
0.248	49.6959
0.25	49.7999
0.252	49.9039
0.254	50.0079
0.256	50.1119
0.258	50.2159
0.26	50.3198
0.262	50.4238
0.264	50.5278
0.266	50.6318
0.268	50.7358
0.27	50.8398
0.272	50.9438
0.274	51.0478
0.276	51.1518
0.278	51.2558
0.28	51.3598
0.282	51.4637
0.284	51.5677
0.286	51.6717
0.288	51.7757
0.29	51.8797
0.292	51.9837
0.294	52.0877
0.296	52.1917
0.298	52.2957
0.3	52.3997
0.302	52.5036
0.304	52.6076
0.306	52.7116
0.308	52.8156
0.31	52.9196
0.312	53.0236
0.314	53.1276
0.316	53.2316
0.318	53.3356
0.32	53.4396
0.322	53.5436
0.324	53.6475
0.326	53.7515
0.328	53.8555
0.33	53.9595
0.332	54.0635
0.334	54.1675
0.336	54.2715
0.338	54.3755
0.34	54.4795
0.342	54.5835
0.344	54.6875
0.346	54.7914
0.348	54.8954
0.35	54.9994
0.352	55.1034
0.354	55.2074
0.356	55.3114
0.358	55.4154
0.36	55.5194
0.362	55.6234
0.364	55.7274
0.366	55.8313
0.368	55.9353
0.37	56.0393
0.372	56.1433
0.374	56.2473
0.376	56.3513
0.378	56.4553
0.38	56.5593
0.382	56.6633
0.384	56.7673
0.386	56.8713
0.388	56.9752
0.39	57.0792
0.392	57.1832
0.394	57.2872
0.396	57.3912
0.398	57.4952
0.4	57.5992
0.402	57.6232
0.404	57.6472
0.406	57.6712
0.408	57.6952
0.41	57.7192
0.412	57.7432
0.414	57.7672
0.416	57.7913
0.418	57.8153
0.42	57.8393
0.422	57.8633
0.424	57.8873
0.426	57.9113
0.428	57.9353
0.43	57.9593
0.432	57.9833
0.434	58.0073
0.436	58.0313
0.438	58.0553
0.44	58.0793
0.442	58.1034
0.444	58.1274
0.446	58.1514
0.448	58.1754
0.45	58.1994
0.452	58.2234
0.454	58.2474
0.456	58.2714
0.458	58.2954
0.46	58.3194
0.462	58.3434
0.464	58.3674
0.466	58.3915
0.468	58.4155
0.47	58.4395
0.472	58.4635
0.474	58.4875
0.476	58.5115
0.478	58.5355
0.48	58.5595
0.482	58.5835
0.484	58.6075
0.486	58.6315
0.488	58.6555
0.49	58.6796
0.492	58.7036
0.494	58.7276
0.496	58.7516
0.498	58.7756
0.5	58.7996
0.502	58.8236
0.504	58.8476
0.506	58.8716
0.508	58.8956
0.51	58.9196
0.512	58.9436
0.514	58.9676
0.516	58.9917
0.518	59.0157
0.52	59.0397
0.522	59.0637
0.524	59.0877
0.526	59.1117
0.528	59.1357
0.53	59.1597
0.532	59.1837
0.534	59.2077
0.536	59.2317
0.538	59.2557
0.54	59.2798
0.542	59.3038
0.544	59.3278
0.546	59.3518
0.548	59.3758
0.55	59.3998
0.552	59.4238
0.554	59.4478
0.556	59.4718
0.558	59.4958
0.56	59.5198
0.562	59.5438
0.564	59.5679
0.566	59.5919
0.568	59.6159
0.57	59.6399
0.572	59.6639
0.574	59.6879
0.576	59.7119
0.578	59.7359
0.58	59.7599
0.582	59.7839
0.584	59.8079
0.586	59.8319
0.588	59.856
0.59	59.88
0.592	59.904
0.594	59.928
0.596	59.952
0.598	59.976
0.6	60
0.602	59.984
0.604	59.9679
0.606	59.9519
0.608	59.9358
0.61	59.9198
0.612	59.9037
0.614	59.8877
0.616	59.8716
0.618	59.8556
0.62	59.8395
0.622	59.8235
0.624	59.8074
0.626	59.7914
