time(s),flow(L/m)
0,0
0.002,0.421824
0.004,0.843648
0.006,1.26547
0.008,1.6873
0.01,2.10912
0.012,2.53095
0.014,2.95277
0.016,3.37459
0.018,3.79642
0.02,4.21824
0.022,4.64007
0.024,5.06189
0.026,5.48372
0.028,5.90554
0.03,6.32736
0.032,6.74919
0.034,7.17101
0.036,7.59284
0.038,8.01466
0.04,8.43648
0.042,8.85831
0.044,9.28013
0.046,9.70196
0.048,10.1238
0.05,10.5456
0.052,10.9674
0.054,11.3893
0.056,11.8111
0.058,12.2329
0.06,12.6547
0.062,13.0766
0.064,13.4984
0.066,13.9202
0.068,14.342
0.07,14.7638
0.072,15.1857
0.074,15.6075
0.076,16.0293
0.078,16.4511
0.08,16.873
0.082,17.2948
0.084,17.7166
0.086,18.1384
0.088,18.5603
0.09,18.9821
0.092,19.4039
0.094,19.8257
0.096,20.2476
0.098,20.6694
0.1,21.0912
0.102,21.513
0.104,21.9349
0.106,22.3567
0.108,22.7785
0.11,23.2003
0.112,23.6222
0.114,24.044
0.116,24.4658
0.118,24.8876
0.12,25.3095
0.122,25.7313
0.124,26.1531
0.126,26.5749
0.128,26.9968
0.13,27.4186
0.132,27.8404
0.134,28.2622
0.136,28.684
0.138,29.1059
0.14,29.5277
0.142,29.9495
0.144,30.3713
0.146,30.7932
0.148,31.215
0.15,31.6368
0.152,32.0586
0.154,32.4805
0.156,32.9023
0.158,33.3241
0.16,33.7459
0.162,34.1678
0.164,34.5896
0.166,35.0114
0.168,35.4332
0.17,35.8551
0.172,36.2769
0.174,36.6987
0.176,37.1205
0.178,37.5424
0.18,37.9642
0.182,38.386
0.184,38.8078
0.186,39.2297
0.188,39.6515
0.19,40.0733
0.192,40.4951
0.194,40.917
0.196,41.3388
0.198,41.7606
0.2,42.1824
0.202,42.3011
0.204,42.4198
0.206,42.5385
0.208,42.6573
0.21,42.776
0.212,42.8947
0.214,43.0134
0.216,43.1321
0.218,43.2508
0.22,43.3695
0.222,43.4882
0.224,43.6069
0.226,43.7256
0.228,43.8443
0.23,43.963
0.232,44.0817
0.234,44.2004
0.236,44.3192
0.238,44.4379
0.24,44.5566
0.242,44.6753
0.244,44.794
0.246,44.9127
0.248,45.0314
0.25,45.1501
0.252,45.2688
0.254,45.3875
0.256,45.5062
0.258,45.6249
0.26,45.7436
0.262,45.8623
0.264,45.981
0.266,46.0998
0.268,46.2185
0.27,46.3372
0.272,46.4559
0.274,46.5746
0.276,46.6933
0.278,46.812
0.28,46.9307
0.282,47.0494
0.284,47.1681
0.286,47.2868
0.288,47.4055
0.29,47.5242
0.292,47.6429
0.294,47.7617
0.296,47.8804
0.298,47.9991
0.3,48.1178
0.302,48.2365
0.304,48.3552
0.306,48.4739
0.308,48.5926
0.31,48.7113
0.312,48.83
0.314,48.9487
0.316,49.0674
0.318,49.1861
0.32,49.3048
0.322,49.4235
0.324,49.5423
0.326,49.661
0.328,49.7797
0.33,49.8984
0.332,50.0171
0.334,50.1358
0.336,50.2545
0.338,50.3732
0.34,50.4919
0.342,50.6106
0.344,50.7293
0.346,50.848
0.348,50.9667
0.35,51.0854
0.352,51.2042
0.354,51.3229
0.356,51.4416
0.358,51.5603
0.36,51.679
0.362,51.7977
0.364,51.9164
0.366,52.0351
0.368,52.1538
0.37,52.2725
0.372,52.3912
0.374,52.5099
0.376,52.6286
0.378,52.7473
0.38,52.8661
0.382,52.9848
0.384,53.1035
0.386,53.2222
0.388,53.3409
0.39,53.4596
0.392,53.5783
0.394,53.697
0.396,53.8157
0.398,53.9344
0.4,54.0531
0.402,54.1005
0.404,54.1479
0.406,54.1954
0.408,54.2428
0.41,54.2902
0.412,54.3376
0.414,54.385
0.416,54.4324
0.418,54.4798
0.42,54.5272
0.422,54.5746
0.424,54.622
0.426,54.6695
0.428,54.7169
0.43,54.7643
0.432,54.8117
0.434,54.8591
0.436,54.9065
0.438,54.9539
0.44,55.0013
0.442,55.0487
0.444,55.0961
0.446,55.1436
0.448,55.191
0.45,55.2384
0.452,55.2858
0.454,55.3332
0.456,55.3806
0.458,55.428
0.46,55.4754
0.462,55.5228
0.464,55.5703
0.466,55.6177
0.468,55.6651
0.47,55.7125
0.472,55.7599
0.474,55.8073
0.476,55.8547
0.478,55.9021
0.48,55.9495
0.482,55.9969
0.484,56.0444
0.486,56.0918
0.488,56.1392
0.49,56.1866
0.492,56.234
0.494,56.2814
0.496,56.3288
0.498,56.3762
0.5,56.4236
0.502,56.471
0.504,56.5185
0.506,56.5659
0.508,56.6133
0.51,56.6607
0.512,56.7081
0.514,56.7555
0.516,56.8029
0.518,56.8503
0.52,56.8977
0.522,56.9452
0.524,56.9926
0.526,57.04
0.528,57.0874
0.53,57.1348
0.532,57.1822
0.534,57.2296
0.536,57.277
0.538,57.3244
0.54,57.3718
0.542,57.4193
0.544,57.4667
0.546,57.5141
0.548,57.5615
0.55,57.6089
0.552,57.6563
0.554,57.7037
0.556,57.7511
0.558,57.7985
0.56,57.8459
0.562,57.8934
0.564,57.9408
0.566,57.9882
0.568,58.0356
0.57,58.083
0.572,58.1304
0.574,58.1778
0.576,58.2252
0.578,58.2726
0.58,58.3201
0.582,58.3675
0.584,58.4149
0.586,58.4623
0.588,58.5097
0.59,58.5571
0.592,58.6045
0.594,58.6519
0.596,58.6993
0.598,58.7467
0.6,58.7942
0.602,58.8062
0.604,58.8183
0.606,58.8303
0.608,58.8424
0.61,58.8544
0.612,58.8665
0.614,58.8786
0.616,58.8906
0.618,58.9027
0.62,58.9147
0.622,58.9268
0.624,58.9389
0.626,58.9509
0.628,58.963
0.63,58.975
0.632,58.9871
0.634,58.9991
0.636,59.0112
0.638,59.0233
0.64,59.0353
0.642,59.0474
0.644,59.0594
0.646,59.0715
0.648,59.0836
0.65,59.0956
0.652,59.1077
0.654,59.1197
0.656,59.1318
0.658,59.1438
0.66,59.1559
0.662,59.168
0.664,59.18
0.666,59.1921
0.668,59.2041
0.67,59.2162
0.672,59.2283
0.674,59.2403
0.676,59.2524
0.678,59.2644
0.68,59.2765
0.682,59.2886
0.684,59.3006
0.686,59.3127
0.688,59.3247
0.69,59.3368
0.692,59.3488
0.694,59.3609
0.696,59.373
0.698,59.385
0.7,59.3971
0.702,59.4091
0.704,59.4212
0.706,59.4333
0.708,59.4453
0.71,59.4574
0.712,59.4694
0.714,59.4815
0.716,59.4935
0.718,59.5056
0.72,59.5177
0.722,59.5297
0.724,59.5418
0.726,59.5538
0.728,59.5659
0.73,59.578
0.732,59.59
0.734,59.6021
0.736,59.6141
0.738,59.6262
0.74,59.6382
0.742,59.6503
0.744,59.6624
0.746,59.6744
0.748,59.6865
0.75,59.6985
0.752,59.7106
0.754,59.7227
0.756,59.7347
0.758,59.7468
0.76,59.7588
0.762,59.7709
0.764,59.7829
0.766,59.795
0.768,59.8071
0.77,59.8191
0.772,59.8312
0.774,59.8432
0.776,59.8553
0.778,59.8674
0.78,59.8794
0.782,59.8915
0.784,59.9035
0.786,59.9156
0.788,59.9276
0.79,59.9397
0.792,59.9518
0.794,59.9638
0.796,59.9759
0.798,59.9879
0.8,60
0.802,59.9899
0.804,59.9798
0.806,59.9696
